A1MWM  ,A-1 Mobile Welding And Mech   ,389 Raubuck Rd                ,Winlock          ,WA,98596,USA,1 360-262-0216      ,12068272224,Bestway,Cash,0.065
ABIMAN ,Abitz Manufacturing           ,W 181 Fredson Rd              ,Shelton          ,WA,98584,USA,360-426-1928        ,15032268128,Will Call,1/10 Net 30,0.065
AGLE   ,A Glass Enterprise            ,212 S Tower                   ,Centralia        ,WA,98531,USA,1 360-736-1141      ,13607364527,Bestway,1/10 Net 30,0.065
AGNLUM ,Agnew Lumber Company          ,PO Box 579                    ,Centralia        ,WA,98531,USA,360-736-8211        ,13607487576,Deliver,2/10 Net 30,0.065
AHLUA  ,AH Lundberg & Associates      ,PO Box 597                    ,Bellevue         ,WA,98009,USA,1 206-827-2250      ,12068272224,Deliver,1/10 Net 30,0.065
ALASON ,Alason Inc                    ,321 Maurin Rd                 ,Chehalis         ,WA,98532,USA,1 360-748-1284      ,3607044491,Deliver,2/10 Net 30,0.065
ASSELE ,Associated Electric           ,1207 E 112th St               ,Tacoma           ,WA,98445,USA,1 253-536-0300      ,12535360193,USF,2/10 Net 30,0.065
AUTEXP ,Automotive Experts            ,116 10th St SE                ,Puyallup         ,WA,98372,USA,1 253-845-4802      ,12537704231,UPS,1/10 Net 30,0.065
BAIBGC ,Bailey Berg General Cont LLC  ,8270 28th Court NE Sutie 201  ,Lacey            ,WA,98516,USA,360-704-4486        ,3607044491,Bestway,1/10 Net 30,0.065
BARDCS ,Barclay Dean Constr Services  ,4623 Seventh Ave S            ,Seattle          ,WA,98108-1719     ,USA,1 206-682-3223      ,12066232721,Deliver,1/10 Net 30,0.065
BARPAS ,Barkshire Panel Systems Inc   ,PO Box 6288                   ,Federal Way      ,WA,98063,USA,1 253-838-1929      ,12538380152,Deliver,Cash,0.065
BCC    ,B C & C                       ,1696 Bishop Rd                ,Chehalis         ,WA,98532,USA,1 360-748-7566      ,13607487576,Bestway,1/10 Net 30,0.065
BENMAC ,Bennett Machinery             ,1635 POrtland Ave             ,Tacoma           ,WA,98421,USA,1 253-627-6737      ,12533837664,Deliver,2/10 Net 30,0.065
